courier	x	y	on_time	off_time
c1	8474	7549	0	90
c2	8404	7535	0	75
c3	8237	6463	30	150
c4	6807	8310	60	150
c5	7952	3929	90	210
c6	7230	9936	90	195
c7	8757	9606	120	300
c8	8878	9670	120	240
c9	9287	2520	120	240
c10	9379	2442	120	210
c11	8192	8663	165	285
c12	5882	10114	165	285
c13	9357	9369	165	255
c14	7807	6430	165	225
c15	7014	9909	195	315
c16	6220	10265	195	255
c17	8232	8642	210	270
c18	7933	6366	255	345
c19	8450	6407	255	300
c20	5366	8718	285	390
c21	8362	6330	300	360
c22	8212	7176	315	360
c23	8974	9436	330	420
c24	3676	6309	330	375
c25	4331	8134	345	390
c26	9418	2441	360	600
c27	2839	8113	375	465
c28	9453	8303	375	465
c29	9414	2550	390	630
c30	8180	8775	435	540
c31	9170	9883	450	690
c32	8125	8374	450	690
c33	7949	5467	480	720
c34	5713	7002	480	720
c35	8303	7256	495	735
c36	9462	9252	495	735
c37	5276	8821	495	675
c38	5232	8748	495	705
c39	7812	6223	525	765
c40	2242	8267	525	765
c41	8802	10298	555	795
c42	5917	10110	555	675
c43	8193	8456	570	750
c44	7801	6241	570	660
c45	3792	6257	570	660
c46	8200	8468	585	825
c47	8172	8345	585	765
c48	8191	7191	585	825
c49	7885	8609	600	780
c50	8229	8495	600	690
c51	7877	6465	630	675
c52	8113	8725	660	840
c53	7961	6292	660	750
c54	7906	6418	780	870
