restaurant	x	y
r1	6728	4409
r2	6881	7051
r3	7937	3537
r4	3619	6859
r5	9377	8439
r6	8223	7280
r7	2330	6737
r8	10291	6557
r9	9343	8495
r10	2896	2577
r11	2290	6788
r12	4346	6797
r13	3954	4580
r14	7990	7644
r15	8077	4223
r16	7884	5057
r17	4358	6288
r18	5744	5567
r19	3037	6754
r20	8807	7436
r21	9248	7000
r22	8274	5811
r23	9585	5130
r24	6780	4333
r25	6108	8826
r26	7895	7665
r27	8713	7196
r28	8663	7028
r29	8072	4829
r30	5331	7414
r31	9270	8577
r32	3853	5131
r33	4520	6682
r34	8005	3922
r35	3806	2170
r36	9060	8592
r37	6275	8805
r38	6203	7502
r39	9020	8792
r40	8001	7774
r41	6941	8511
r42	8977	3802
r43	9184	8661
r44	6853	4723
r45	1407	6093
r46	4069	4745
r47	7774	5696
r48	8137	3542
r49	8037	7632
r50	9218	8301
r51	8887	3861
r52	9367	7063
r53	2812	4792
r54	8016	4079
r55	7806	4734
r56	4496	6652
r57	8011	7261
r58	420	3629
r59	9268	8637
r60	8564	7438
r61	8219	6859
r62	2801	6629
r63	8243	7306
r64	6251	8893
r65	6544	8725
r66	7912	2670
r67	8007	4047
r68	5702	5483
r69	7790	5016
r70	2880	4727
r71	6622	8669
r72	8524	7246
r73	8785	8867
r74	8330	5054
r75	4174	4854
r76	6956	6848
r77	0	5954
r78	9069	6987
r79	8208	6964
r80	3670	4933
r81	10958	2498
r82	6882	4451
r83	416	3614
r84	8173	7301
r85	9423	6848
r86	8237	5316
r87	7898	9462
r88	9420	6966
r89	7052	5689
r90	7922	5871
r91	29	5959
r92	4883	6817
r93	8010	2580
r94	8471	6187
r95	7128	7203
r96	8597	3500
r97	9156	8134
r98	5752	5437
r99	6696	4838
r100	7199	8722
r101	7751	8471
r102	5674	8594
r103	8755	5507
r104	6153	8796
r105	8467	7317
r106	9411	7175
r107	5534	5398
r108	3737	6915
r109	8018	7470
r110	7191	4653
r111	7906	4486
r112	3947	4911
r113	8620	6325
r114	9069	6413
r115	7618	4847
r116	7792	4633
r117	8980	6300
r118	8347	6292
r119	2501	6640
r120	8116	6975
r121	8011	7765
r122	7017	4603
r123	8993	8685
r124	4049	6907
r125	3043	4855
r126	9268	8618
r127	2887	3703
r128	5630	7353
r129	8078	7469
r130	3842	4919
r131	8625	3545
r132	7177	4485
r133	6119	8912
r134	2885	4852
r135	9393	1072
r136	8925	7096
r137	8168	9662
r138	4499	6835
r139	9544	6447
r140	7861	4850
r141	7944	7551
r142	9140	8626
r143	8610	9791
r144	4027	6886
r145	9792	7332
r146	4038	7207
r147	8058	4616
r148	6801	7242
r149	8890	8747
r150	4184	6901
r151	7307	8537
r152	3050	6785
r153	8069	2830
r154	10067	4707
r155	7958	7320
r156	4425	6791
r157	2960	6699
r158	8932	2985
r159	9020	8799
