courier	x	y	on_time	off_time
c1	16488	12537	0	120
c2	15260	16749	0	150
c3	20046	16425	15	255
c4	13258	23096	15	255
c5	14753	24485	15	255
c6	16525	12504	15	255
c7	14494	19372	15	255
c8	15416	16811	15	135
c9	15395	17577	30	210
c10	14937	19228	30	210
c11	15841	17556	30	210
c12	17486	19646	30	210
c13	19521	15495	30	210
c14	18928	17699	30	120
c15	19948	16549	45	225
c16	15277	23022	45	225
c17	19547	15578	45	225
c18	14614	19241	45	165
c19	14643	19218	45	135
c20	16647	21029	60	240
c21	16657	21138	60	270
c22	15261	16807	75	315
c23	18096	20817	75	165
c24	17696	20200	75	165
c25	16554	21084	75	285
c26	17549	20181	90	330
c27	18565	13709	90	330
c28	15520	18174	90	330
c29	15897	23946	90	270
c30	15614	18117	90	270
c31	18566	13829	90	270
c32	15892	17871	90	270
c33	15333	16746	90	270
c34	17694	18507	90	270
c35	15204	16764	90	270
c36	17551	20055	90	270
c37	18051	21152	90	270
c38	15357	22893	90	240
c39	17094	21565	105	345
c40	17579	20016	105	285
c41	17080	21520	105	285
c42	15315	22937	105	345
c43	18872	16517	105	285
c44	18441	20048	105	285
c45	17071	12495	105	345
c46	19986	16475	105	345
c47	18452	19988	105	345
c48	2912	29688	105	285
c49	19769	16705	120	360
c50	19777	16949	120	360
c51	22397	6014	120	360
c52	17718	20132	120	360
c53	18458	19987	120	360
c54	15990	24025	120	360
c55	19417	14367	120	360
c56	15551	17594	120	300
c57	16111	17422	120	180
c58	19526	13271	135	375
c59	18450	15232	135	375
c60	19564	14364	135	375
c61	17172	21550	135	375
c62	19653	17124	150	390
c63	17630	19303	150	390
c64	17697	20135	150	390
c65	15366	22998	150	390
c66	15604	18113	150	390
c67	14935	19124	180	300
c68	18928	16544	195	315
c69	16079	24890	195	315
c70	21181	693	210	300
c71	15340	16834	225	345
c72	18999	16498	225	285
c73	15522	18198	240	480
c74	17399	20951	240	480
c75	18801	16470	255	495
c76	20000	16447	255	435
c77	18077	20886	255	435
c78	18889	16530	255	435
c79	18121	20855	255	375
c80	19953	16441	285	465
c81	19608	16667	285	375
c82	13286	22301	300	390
c83	18183	20868	300	495
c84	14763	24451	315	405
c85	15550	18403	315	405
c86	17171	21605	315	405
c87	14822	13666	315	405
c88	17443	21082	315	405
c89	15233	16697	315	495
c90	19631	16893	330	510
c91	18398	20088	330	510
c92	19168	16057	330	510
c93	18294	14956	330	510
c94	19467	16585	330	510
c95	17099	21680	330	510
c96	18317	20122	330	510
c97	15603	18255	330	450
c98	17153	21600	345	585
c99	18959	14732	345	585
c100	15590	18250	360	540
c101	19733	16638	360	540
c102	15513	18347	360	540
c103	17719	20172	375	615
c104	17050	21628	375	495
c105	5878	31188	390	570
c106	15575	18225	390	570
c107	19533	14404	390	570
c108	17307	21105	390	570
c109	15515	18351	390	570
c110	17246	21682	405	645
c111	15612	18268	405	645
c112	16094	24799	420	600
c113	19237	16093	435	525
c114	15302	18111	450	690
c115	19190	15932	450	690
c116	16159	17558	450	630
c117	17226	21553	450	630
c118	14637	24354	450	630
c119	15608	18294	450	630
c120	16920	12457	450	510
c121	19574	15017	465	705
c122	15775	19926	465	705
c123	14811	11464	465	705
c124	19611	16945	465	705
c125	15472	18272	465	705
c126	15259	18288	465	705
c127	17486	18148	465	645
c128	18335	19989	465	675
c129	15516	18178	480	660
c130	17017	12532	480	660
c131	17644	21531	480	660
c132	18179	20869	480	660
c133	18893	16573	495	735
c134	19717	16661	495	735
c135	17732	14745	495	675
c136	14852	20704	495	675
c137	15287	23039	495	675
c138	18164	20879	495	675
c139	18949	16579	495	675
c140	15730	19990	495	675
c141	19763	16557	495	675
c142	17897	14649	495	705
c143	13488	19141	510	690
c144	17090	21696	510	690
c145	17817	18509	510	690
c146	15946	21516	510	600
c147	15609	18150	510	555
c148	19618	15116	525	765
c149	18195	20848	525	765
c150	16501	15407	525	765
c151	17108	21692	525	765
c152	18082	20814	525	765
c153	13422	19150	525	765
c154	18206	20754	540	720
c155	20098	16386	540	720
c156	2745	29531	540	720
c157	18361	20104	540	720
c158	17863	14664	540	720
c159	15514	18144	555	735
c160	18979	16491	555	735
c161	16489	19873	555	735
c162	16442	22015	555	645
c163	15251	18277	570	810
c164	18123	21231	570	750
c165	14985	23158	570	750
c166	15620	18203	570	750
c167	19318	15942	570	690
c168	15311	23027	600	780
c169	15290	18267	600	720
c170	17187	21616	600	720
c171	16067	21574	615	795
c172	19644	15108	615	795
c173	18993	16494	630	810
c174	15426	18194	645	825
c175	11190	24827	690	810
c176	12831	20390	690	750
