restaurant	x	y
r1	24630	13543
r2	24628	18940
r3	28182	14899
r4	28507	15561
r5	25068	18007
r6	25197	18067
r7	27639	17429
r8	27636	14503
r9	29264	14532
r10	29235	14118
r11	27125	20153
r12	28593	14398
r13	29721	15407
r14	29420	13208
r15	29101	15736
r16	26342	21829
r17	26998	21476
r18	29377	16534
r19	29281	16285
r20	27580	15558
r21	27850	19420
r22	28063	15784
r23	27442	19894
r24	27869	21011
r25	23335	21316
r26	26325	21019
r27	28866	14356
r28	27359	19919
r29	27230	15348
r30	28568	15427
r31	28189	14730
r32	28563	17867
r33	29096	17440
r34	28816	14363
r35	28973	14662
r36	29391	14829
r37	24670	15656
r38	29481	15554
r39	27555	17959
r40	29368	13381
r41	31125	472
r42	27857	15733
r43	27157	17979
r44	23109	23055
r45	25310	18030
r46	27194	21626
r47	29414	17018
r48	25017	20021
r49	28174	14912
r50	32021	5696
r51	25249	18088
r52	28611	14505
r53	29488	17035
r54	29191	16151
r55	27282	15583
r56	24216	24130
r57	22391	18979
r58	27120	18452
r59	27498	21271
r60	23208	22095
r61	24346	19344
r62	28966	15759
r63	29374	14674
r64	27924	20532
r65	21240	20652
r66	24503	11157
r67	15749	31123
r68	29592	16792
r69	28206	14822
r70	21852	19469
r71	27963	21367
r72	29415	16724
r73	29428	15311
r74	27608	18792
r75	23166	19026
r76	28778	15679
r77	32462	5816
r78	26927	15547
r79	25650	23831
r80	29361	16708
r81	24614	20628
r82	28338	13506
r83	28710	14495
r84	28125	14924
r85	27491	21541
r86	27933	20692
r87	24584	11287
r88	21457	19700
r89	26917	21412
r90	26546	21381
r91	29369	14972
r92	29259	12624
r93	12629	29371
r94	27471	19043
r95	29343	14754
r96	29359	15386
r97	18755	36927
r98	28735	11885
r99	25593	17345
r100	22092	24593
r101	24677	13639
r102	27810	20564
r103	22643	20224
r104	25871	25782
r105	28613	17454
r106	30199	16006
r107	27518	18381
r108	25763	21409
r109	29136	17057
r110	25993	23848
r111	28562	14606
r112	18320	29492
r113	28726	16198
r114	29168	16276
r115	27143	21828
r116	25442	19888
r117	26517	25857
r118	3589	31879
r119	27174	21917
r120	29755	16074
r121	27647	19831
r122	28621	17446
r123	29186	16178
r124	21055	16612
r125	25140	18010
r126	27100	14854
r127	29036	15655
r128	28107	19959
r129	25882	17214
r130	28417	17061
r131	26587	13513
r132	22386	26177
r133	27546	21397
r134	24794	17327
r135	28148	19939
r136	21910	20870
r137	29066	14080
r138	28833	15878
r139	23361	19375
r140	21106	24586
