order	x	y	placement_time	restaurant	ready_time
o1	22205	13728	536	r1	546
o2	23855	18791	625	r2	636
o3	24536	14078	190	r3	216
o4	19405	17797	257	r4	259
o5	25068	12921	547	r5	556
o6	23571	18891	111	r6	135
o7	19235	12643	327	r7	340
o8	23510	17042	119	r8	142
o9	25656	13333	310	r9	324
o10	23118	13496	692	r10	709
o11	22569	23515	85	r11	109
o12	19321	13888	76	r12	129
o13	23364	12279	499	r13	526
o14	22837	10282	415	r14	425
o15	25131	13192	467	r15	487
o16	25860	13068	516	r16	541
o17	17880	19041	443	r17	460
o18	22977	20034	500	r18	524
o19	24104	16583	495	r19	512
o20	27605	2267	729	r20	749
o21	23739	18249	44	r21	49
o22	22031	21865	668	r22	687
o23	19851	16244	368	r23	391
o24	21704	15578	315	r23	335
o25	23926	18601	459	r24	464
o26	16835	18234	308	r25	338
o27	17478	16042	403	r26	418
o28	25598	13233	69	r27	119
o29	18190	20316	311	r28	352
o30	24914	11409	148	r16	174
o31	24701	11432	627	r29	667
o32	24345	15707	179	r8	190
o33	22743	17277	313	r8	332
o34	22434	22075	176	r30	209
o35	20032	15950	538	r31	561
o36	22659	20363	618	r32	643
o37	27867	2653	391	r33	414
o38	21912	16999	384	r34	399
o39	23400	18869	550	r35	554
o40	23621	19227	64	r24	68
o41	25073	10815	556	r36	558
o42	24981	9316	550	r5	556
o43	20497	14015	92	r37	107
o44	17058	22737	136	r38	139
o45	18330	22307	206	r39	230
o46	20900	15556	402	r40	423
o47	25389	13878	315	r27	365
o48	22248	18358	111	r34	126
o49	25230	14532	480	r41	494
o50	25416	9861	399	r42	405
o51	19616	18164	453	r43	478
o52	24133	12879	453	r44	471
o53	20788	22291	69	r45	86
o54	24778	10552	182	r46	185
o55	19258	16732	518	r28	611
o56	19196	18038	135	r47	140
o57	24315	14832	502	r48	538
o58	18204	18092	636	r49	662
o59	22900	15605	72	r50	93
o60	20446	22430	220	r51	242
o61	23112	12837	308	r52	327
o62	24195	13642	564	r53	598
o63	18244	16250	616	r54	634
o64	17992	16251	71	r55	86
o65	23762	19405	555	r35	561
o66	19385	21830	76	r11	108
o67	19295	18309	194	r56	207
o68	17866	17483	234	r57	277
o69	24673	14884	130	r21	137
o70	25837	13848	412	r58	424
o71	23264	12243	516	r14	528
o72	21220	26024	253	r26	267
o73	25376	14503	457	r59	476
o74	17916	17876	165	r28	205
o75	24404	11559	59	r60	63
o76	18969	17903	264	r61	294
o77	24500	14019	460	r34	477
o78	26138	1466	684	r20	704
o79	25142	12633	74	r62	100
o80	17703	18876	343	r63	371
o81	19419	17297	403	r64	427
o82	18667	13215	295	r58	318
o83	18700	16535	619	r55	638
o84	20142	25646	391	r65	393
o85	21061	14584	635	r31	656
o86	22531	22976	580	r30	608
o87	23158	20427	262	r66	291
o88	26196	1771	567	r67	572
o89	24800	14447	368	r68	383
o90	23782	13313	744	r23	757
o91	25764	13082	230	r69	239
o92	23155	12379	229	r46	231
o93	20204	16192	490	r54	506
o94	24232	14887	597	r70	613
o95	22917	19531	406	r71	426
o96	25278	13150	367	r71	380
o97	23839	18056	72	r72	75
o98	21663	19464	397	r73	404
o99	24297	9821	481	r5	492
o100	26309	4011	468	r33	471
o101	20683	16694	467	r74	470
o102	22706	24261	563	r75	568
o103	17935	17822	171	r76	173
o104	9481	28790	306	r77	336
o105	22963	19192	126	r50	160
o106	17756	17395	714	r61	757
o107	15343	21076	180	r76	182
o108	22949	15603	433	r57	443
o109	23721	18384	188	r78	201
o110	16140	21575	353	r79	377
o111	24862	15090	709	r80	729
o112	25331	14449	566	r81	578
o113	24361	15053	352	r59	361
o114	23573	15987	460	r24	465
o115	23776	13975	513	r82	565
o116	24426	14258	40	r4	43
o117	19413	16061	532	r83	533
o118	23851	16847	378	r78	384
o119	20556	21555	477	r84	490
o120	21657	18955	503	r85	526
o121	20557	16469	377	r86	392
o122	20006	16923	593	r1	606
o123	23675	13779	336	r87	349
o124	24269	16256	530	r34	550
o125	24225	16137	355	r86	370
o126	23515	12596	458	r68	474
o127	27514	3306	643	r20	663
o128	24282	16060	426	r56	442
o129	21518	22141	552	r88	563
o130	24495	14940	357	r44	364
o131	22448	19283	492	r89	533
o132	23933	13509	524	r90	533
o133	23882	13470	527	r91	537
o134	22477	17584	405	r85	418
o135	24907	14231	493	r92	503
o136	21289	13956	332	r93	350
o137	23123	20550	625	r94	650
o138	25410	9823	478	r16	503
o139	19185	17203	266	r48	280
o140	24712	11207	159	r46	167
o141	20759	11377	297	r52	306
o142	26934	1769	124	r67	128
o143	24893	15493	282	r80	302
o144	24791	13874	513	r62	538
o145	22869	20105	180	r51	203
o146	24453	12645	220	r95	223
o147	24226	14055	548	r60	555
o148	20936	19364	108	r43	133
o149	19145	17185	516	r96	531
o150	20108	16501	322	r28	401
o151	16663	20750	595	r79	614
o152	20743	14276	388	r69	393
o153	22462	19197	531	r50	554
o154	24551	11189	70	r97	94
o155	9438	31679	255	r98	270
o156	15780	20406	467	r63	481
o157	21156	15927	719	r99	724
o158	20990	15972	70	r96	90
o159	9645	33453	531	r77	556
o160	24749	11803	617	r82	636
o161	22845	17498	501	r100	511
o162	22179	11202	456	r101	488
o163	24553	13844	734	r102	754
o164	20272	20835	126	r103	128
o165	20219	16176	415	r46	436
o166	23912	13615	132	r68	143
o167	18037	22722	440	r104	466
o168	23019	17862	551	r78	557
o169	24362	15162	580	r105	594
o170	20013	11968	282	r52	302
o171	18139	15929	287	r61	318
o172	24876	13563	655	r106	676
o173	27057	4969	115	r107	130
o174	28401	2981	535	r20	555
o175	22695	17161	512	r84	519
o176	25352	13216	249	r91	260
o177	18087	17360	637	r61	672
o178	21409	13959	480	r108	488
o179	20860	14445	583	r76	587
o180	19877	14340	2	r109	14
o181	22015	22412	154	r110	174
o182	23765	17802	583	r85	590
o183	18574	16359	695	r40	715
o184	22909	15615	508	r46	524
o185	25004	10315	401	r16	421
o186	23543	19706	406	r94	411
o187	28221	3987	241	r33	245
o188	25708	13096	427	r111	443
o189	24327	16211	597	r53	617
o190	20889	14356	589	r112	597
o191	24833	12575	683	r64	707
o192	21253	19155	24	r43	25
o193	21147	15188	55	r12	89
o194	17774	18741	90	r37	107
o195	23165	13405	548	r14	558
o196	22086	10217	349	r46	355
o197	23061	20548	522	r102	572
o198	25402	6690	569	r107	580
o199	22627	18704	477	r11	502
o200	23941	16586	513	r66	527
o201	24471	14329	537	r7	544
o202	24566	13755	291	r29	320
o203	24458	11554	572	r113	590
o204	21208	20041	691	r114	703
o205	24668	14398	487	r115	490
o206	21295	21137	175	r50	205
o207	25657	13804	277	r116	284
o208	21707	22635	282	r117	293
o209	21754	15511	199	r118	247
o210	21284	23163	79	r119	91
o211	17890	16781	540	r47	555
o212	21893	21824	370	r120	371
o213	24844	15471	499	r85	509
o214	21274	21742	512	r120	516
o215	22354	19468	304	r30	349
o216	23621	18160	713	r121	746
o217	25356	13016	502	r105	527
o218	18949	16907	323	r83	334
o219	23712	15847	560	r112	567
o220	23559	18038	437	r34	447
o221	23741	7287	8	r69	13
o222	19538	17678	680	r91	685
o223	22788	12367	61	r111	82
o224	25853	13903	201	r122	216
o225	22568	12465	512	r74	516
o226	22878	12572	517	r31	536
o227	21703	15170	272	r95	274
o228	18994	17175	412	r83	414
o229	22664	20413	469	r103	472
o230	19536	17915	283	r1	289
o231	19274	15050	534	r76	536
o232	20723	14379	316	r64	356
o233	17539	22955	559	r123	574
o234	21634	21940	464	r119	477
o235	18359	17368	653	r12	667
o236	23978	13631	579	r82	599
o237	22526	22416	563	r124	590
o238	24616	11675	205	r115	213
o239	18898	21064	558	r89	578
o240	16225	20845	267	r28	345
o241	22433	11302	200	r92	210
o242	25746	12961	461	r82	481
o243	22672	20102	639	r125	654
o244	21979	19150	497	r126	512
o245	24306	14978	488	r82	501
o246	23766	13586	412	r82	432
o247	24237	11157	565	r127	589
o248	23688	18027	401	r128	436
o249	22632	14424	629	r86	636
o250	23761	17637	620	r129	625
o251	17616	17448	58	r12	88
o252	20754	19004	565	r130	583
o253	24257	11970	555	r102	560
o254	14421	27720	268	r77	298
o255	18128	18702	197	r28	249
o256	17302	14861	742	r91	752
o257	24077	16804	172	r85	192
o258	20127	16093	255	r96	278
o259	22472	17439	544	r24	549
o260	26955	4462	475	r107	483
o261	18149	26655	570	r131	575
o262	22759	21137	82	r50	108
o263	19380	15268	435	r58	442
o264	23739	13851	565	r86	577
o265	25645	13708	473	r132	476
o266	21730	21682	582	r133	602
o267	25522	14394	106	r23	119
o268	23722	13238	522	r134	527
o269	17749	15865	647	r37	660
o270	19027	22261	617	r22	637
o271	24501	14996	609	r135	624
o272	23594	12435	470	r82	490
o273	23666	17192	455	r85	476
o274	23985	12924	175	r136	178
o275	19779	16819	541	r137	552
o276	24656	14715	499	r12	519
o277	23087	18814	691	r84	698
o278	25063	14832	372	r59	396
o279	17192	18145	167	r138	170
o280	22035	19449	72	r50	92
o281	18029	21908	425	r139	441
o282	24777	13859	539	r80	561
o283	23434	17730	279	r50	292
o284	21353	14360	466	r86	481
o285	25272	13774	450	r108	461
o286	22057	11655	62	r140	73
o287	28224	3959	93	r7	118
o288	22991	12567	513	r141	523
o289	23750	18495	107	r87	115
o290	25245	9611	287	r16	308
o291	11952	36795	246	r142	248
o292	23589	17463	419	r94	445
o293	25024	12017	528	r66	541
o294	24797	10692	82	r42	107
o295	28474	2985	132	r33	133
o296	25444	13543	714	r122	749
o297	19102	17381	495	r54	508
o298	18487	16067	101	r55	124
o299	25191	13727	424	r132	437
o300	20787	20586	271	r143	290
o301	23720	19184	635	r135	646
o302	25190	9291	521	r36	533
o303	24563	15200	477	r144	500
o304	21720	11575	551	r145	574
o305	22756	22919	141	r79	157
o306	24872	10617	600	r146	607
o307	22417	14469	373	r10	388
o308	25695	13088	217	r42	227
o309	23658	16088	485	r34	505
o310	19806	12628	454	r145	459
o311	23188	13484	564	r96	589
o312	21886	19481	569	r121	604
o313	18302	17443	500	r57	513
o314	22479	13328	575	r74	585
o315	18216	20484	172	r6	179
o316	25336	14518	411	r78	421
o317	23729	16682	229	r23	243
o318	20439	14480	394	r31	407
o319	24148	12063	705	r102	750
o320	23798	13623	464	r59	494
o321	22830	12065	457	r141	460
o322	22820	19953	588	r88	596
o323	23454	17812	112	r66	137
o324	20601	18445	183	r147	209
o325	19931	16261	555	r31	567
o326	24769	14749	396	r69	402
o327	25317	13630	531	r46	546
o328	24690	14800	526	r66	540
o329	24522	14876	563	r34	602
o330	19395	15028	82	r1	89
o331	21554	11386	221	r52	247
o332	18041	16777	338	r148	343
o333	24824	15102	211	r34	224
o334	21435	15699	476	r23	486
o335	19049	14371	578	r108	589
o336	19801	11121	440	r101	460
o337	23257	19097	581	r94	616
o338	19616	16194	264	r84	267
o339	18602	17375	218	r149	230
o340	24562	15167	500	r136	503
o341	22433	16873	128	r46	134
o342	21962	19690	324	r150	338
o343	23272	12893	608	r108	619
o344	21183	20280	186	r151	215
o345	24485	12698	278	r145	280
o346	21832	23227	98	r89	116
o347	22563	18872	68	r128	83
o348	19587	15202	426	r54	435
o349	25810	12999	513	r82	533
o350	25823	13830	462	r82	482
o351	24402	14468	456	r136	457
o352	23797	18639	383	r111	399
o353	23777	18974	434	r37	449
o354	20996	19039	171	r50	194
o355	24548	11322	367	r127	390
o356	20071	20677	201	r151	225
o357	23184	20456	202	r117	219
o358	23966	15813	234	r62	261
o359	22703	21060	485	r71	517
o360	12763	18707	156	r98	171
o361	20672	23226	574	r17	588
o362	23896	14786	320	r115	333
o363	23660	8594	581	r20	601
o364	25069	10882	519	r82	565
o365	22387	24333	429	r84	438
o366	23667	18892	391	r103	393
o367	20861	19355	438	r151	462
o368	24077	18418	376	r89	391
o369	20107	9394	312	r152	331
o370	21214	15937	631	r141	634
o371	20294	18637	98	r83	114
o372	17795	18059	452	r83	453
o373	24171	16460	32	r64	82
o374	24292	11734	439	r153	461
o375	21307	15840	574	r27	624
o376	20893	20491	83	r120	85
o377	22338	19640	450	r88	459
o378	21479	20652	246	r154	279
o379	25599	9811	373	r92	383
o380	17554	17036	14	r12	39
o381	21532	14771	31	r155	41
o382	23801	13788	476	r27	526
o383	24695	14882	595	r66	604
o384	22439	19895	291	r151	310
o385	18070	14739	521	r118	558
o386	24267	12843	336	r42	344
o387	22438	13779	396	r86	411
o388	21966	11719	150	r8	171
o389	25238	13892	600	r62	625
o390	21799	17101	309	r84	320
o391	18309	18385	596	r54	612
o392	18103	18680	99	r156	152
o393	23087	19425	166	r157	177
o394	17921	17249	757	r158	764
o395	16256	21583	556	r49	578
o396	20657	16259	555	r74	560
o397	23337	13178	608	r102	651
o398	25584	2071	333	r107	345
o399	24734	14451	99	r90	104
o400	20445	16204	470	r48	493
o401	22517	23103	431	r159	452
o402	24436	14010	411	r61	442
o403	24733	13863	572	r160	584
o404	25318	13681	202	r91	217
o405	25839	12975	371	r52	380
o406	23495	13437	134	r161	149
o407	21036	15079	510	r12	568
o408	21883	11690	142	r52	158
o409	23648	18652	132	r105	146
o410	23067	19609	427	r94	472
o411	22244	13685	610	r162	635
o412	20633	21316	184	r110	208
o413	25191	9548	558	r16	583
o414	21428	20493	329	r163	341
o415	19198	6849	734	r7	750
o416	27206	3257	291	r33	308
o417	21755	17385	450	r18	465
o418	24197	16061	741	r102	761
o419	23630	14181	375	r35	378
o420	23204	19540	246	r26	253
o421	25426	13921	502	r102	542
o422	21601	24659	100	r164	124
o423	21376	21785	373	r143	403
o424	22133	24705	155	r110	175
o425	25550	13717	515	r92	525
o426	22820	20356	610	r88	621
o427	21634	14455	456	r74	468
o428	20021	12246	664	r12	678
o429	28290	3399	551	r33	576
o430	24797	11384	170	r141	172
o431	22637	19279	596	r70	611
o432	23711	18639	332	r147	351
o433	20528	12150	633	r64	655
o434	24442	12825	111	r57	131
o435	23027	16150	448	r128	473
o436	19525	17707	322	r17	342
o437	22502	18683	298	r120	300
o438	21847	17445	486	r72	496
o439	27280	3630	407	r33	414
o440	17441	18898	70	r123	85
o441	17356	23144	140	r158	168
o442	20861	14975	687	r23	699
o443	26896	6107	61	r7	69
o444	17272	16610	260	r61	294
o445	22920	17761	465	r71	500
o446	21825	20588	166	r88	171
o447	17919	17236	613	r54	634
o448	27798	3721	282	r67	284
o449	24496	11592	524	r102	601
o450	21161	21883	442	r119	451
o451	25217	7424	595	r165	618
o452	22499	19095	153	r72	163
o453	21600	14678	131	r74	134
o454	23397	13212	443	r46	461
o455	18742	16741	550	r91	573
o456	24982	13005	167	r64	209
o457	20295	14142	384	r12	409
o458	21734	14347	561	r96	569
o459	22917	20106	372	r24	382
o460	22451	13312	734	r102	759
o461	23623	13303	628	r116	644
o462	23928	13581	521	r41	532
o463	17912	17923	671	r114	680
o464	19003	15939	440	r61	477
o465	21825	17769	577	r72	579
o466	19330	18000	200	r166	229
o467	6258	28418	559	r98	581
o468	24408	13764	34	r91	34
o469	19052	16813	362	r57	383
o470	21353	14396	550	r53	566
o471	21272	15624	461	r57	483
o472	22248	20335	248	r110	270
o473	24865	13918	532	r106	562
o474	23596	18263	381	r85	383
o475	22366	19529	572	r71	590
o476	22283	20164	565	r2	575
o477	22770	18044	559	r84	577
o478	21431	21140	102	r110	113
o479	21395	19788	561	r167	562
o480	20561	9495	255	r36	265
o481	23452	19989	463	r50	478
o482	18873	22636	392	r30	412
o483	25001	11237	85	r95	89
o484	22728	18069	522	r78	526
o485	23594	18368	753	r121	776
o486	20968	15603	43	r109	76
o487	23773	16423	68	r105	74
o488	22030	17374	617	r168	628
o489	22610	9963	378	r14	380
o490	17731	17471	693	r55	704
o491	20038	19740	320	r114	337
o492	26967	2648	524	r107	527
o493	25809	13670	376	r42	388
o494	21553	15439	513	r169	554
o495	19755	16853	163	r8	184
o496	18557	18120	552	r118	588
o497	22007	20371	485	r133	529
o498	21238	15527	218	r64	260
o499	24854	15459	340	r26	356
o500	18865	16461	426	r170	441
o501	24276	16153	112	r155	120
o502	19450	18361	568	r170	574
o503	19068	15774	635	r76	645
o504	19919	16391	56	r166	60
o505	23525	13406	146	r155	153
o506	19584	21347	524	r30	565
o507	23307	20186	362	r43	387
o508	7758	29054	393	r98	395
o509	23293	19849	241	r85	256
o510	20136	22833	109	r103	110
o511	24113	15104	502	r171	522
o512	23624	18308	280	r34	292
o513	25260	7541	537	r107	551
o514	20100	16718	229	r48	251
o515	21581	23991	510	r150	525
o516	24736	14129	83	r95	90
o517	20075	17369	564	r17	582
o518	20038	14068	295	r172	305
o519	21467	18911	136	r173	159
o520	23668	18204	263	r128	291
o521	19353	15894	450	r57	481
o522	19078	16590	389	r28	424
o523	20776	21675	517	r150	532
o524	20527	15150	586	r171	609
o525	21883	17486	229	r34	249
o526	21657	24074	232	r103	235
o527	23458	14646	263	r62	283
o528	20731	18468	579	r84	589
o529	22058	19315	105	r137	111
o530	23633	13462	513	r41	523
o531	22419	18555	580	r78	589
o532	24707	13809	376	r174	397
o533	21290	25689	319	r11	341
o534	23510	12371	491	r91	503
o535	21245	19137	459	r103	465
o536	19671	17212	37	r109	68
o537	17903	17446	632	r54	646
o538	24659	13014	241	r7	250
o539	22470	23164	526	r84	527
o540	25363	14073	451	r82	471
o541	24608	12077	334	r19	354
o542	18227	18546	490	r83	491
o543	20582	16820	382	r91	399
o544	24697	15356	582	r80	602
o545	22001	19962	483	r175	508
o546	24338	15486	86	r111	102
o547	24391	12760	720	r61	757
o548	23890	16157	196	r50	215
o549	24886	2638	438	r33	441
o550	22394	7440	714	r146	715
o551	23142	20433	493	r17	511
o552	22359	19610	510	r132	519
o553	19041	12201	616	r144	623
o554	23458	19830	641	r88	653
o555	21013	32511	569	r75	574
o556	21097	17556	588	r176	595
o557	22811	19484	557	r17	572
o558	19866	11155	585	r141	605
o559	25527	13110	172	r34	198
o560	19849	16530	545	r43	570
o561	17978	16345	493	r57	508
o562	20123	21537	759	r30	776
o563	24411	12718	519	r8	529
o564	25002	9657	630	r58	652
o565	22288	19421	570	r84	579
o566	23449	12941	542	r136	543
o567	22162	22303	446	r119	461
o568	18769	16087	622	r10	636
o569	21398	17689	128	r50	168
o570	24384	15022	417	r78	421
o571	23450	19349	346	r84	349
o572	21545	19846	609	r123	628
o573	24223	15396	686	r144	697
o574	21930	14247	531	r177	551
o575	18272	17657	586	r47	596
o576	19898	14903	207	r102	227
o577	23922	16473	518	r132	524
