order	x	y	placement_time	restaurant	ready_time
o1	29831	13635	7	r1	12
o2	32008	13332	8	r2	19
o3	27277	21474	16	r3	23
o4	29967	13566	30	r2	45
o5	29033	17328	34	r4	54
o6	26878	19641	36	r3	58
o7	30108	16769	41	r3	53
o8	25734	15258	47	r3	55
o9	27359	23439	48	r5	61
o10	29325	20750	52	r6	54
o11	28590	19410	56	r3	61
o12	28381	11168	57	r7	77
o13	26139	11311	62	r8	82
o14	29737	16343	63	r9	73
o15	27172	14169	64	r10	67
o16	29182	20075	65	r11	69
o17	30553	11245	65	r12	88
o18	30178	13007	66	r13	81
o19	25426	22794	66	r14	72
o20	25769	11374	68	r7	93
o21	30499	12473	68	r15	78
o22	13504	37820	69	r16	89
o23	26230	16475	69	r17	96
o24	34218	3474	69	r18	84
o25	28028	20159	70	r19	85
o26	29890	17126	70	r17	96
o27	27552	18210	71	r20	77
o28	34375	3178	71	r21	75
o29	25517	24380	73	r22	87
o30	29649	12020	74	r1	89
o31	28496	23095	75	r14	105
o32	30887	13849	76	r3	93
o33	29556	16954	76	r14	91
o34	29116	15318	78	r20	87
o35	34409	2987	80	r21	91
o36	25504	16516	80	r23	88
o37	27942	16721	82	r14	106
o38	34268	3621	84	r18	87
o39	27757	14630	84	r24	117
o40	16267	46679	85	r16	98
o41	29213	20838	87	r14	105
o42	31060	11830	88	r14	99
o43	30380	13140	89	r25	98
o44	29288	20318	90	r14	105
o45	29424	11815	91	r13	114
o46	28298	20001	91	r26	121
o47	28817	19384	92	r14	112
o48	29416	12630	92	r9	94
o49	23075	18475	93	r14	120
o50	23573	17991	93	r14	107
o51	27414	15239	93	r26	123
o52	26247	14496	94	r23	106
o53	28533	21063	96	r14	125
o54	31132	10326	97	r12	105
o55	25952	20238	98	r27	103
o56	29159	19446	100	r28	109
o57	16787	28104	102	r29	120
o58	23385	13492	103	r30	130
o59	29806	17583	104	r31	128
o60	23936	18304	105	r17	130
o61	25454	15259	106	r32	136
o62	23769	18191	106	r14	138
o63	27354	13241	107	r7	137
o64	31635	14340	108	r15	118
o65	29911	13282	108	r33	113
o66	28405	16873	108	r14	132
o67	33163	5551	109	r18	118
o68	18564	20612	109	r34	131
o69	24594	22294	109	r14	127
o70	28789	19764	109	r35	130
o71	28849	12158	110	r14	132
o72	26179	20993	111	r22	127
o73	30432	13059	112	r24	136
o74	30892	14037	112	r15	122
o75	34116	444	113	r21	122
o76	27143	16529	113	r36	133
o77	31386	12789	114	r37	132
o78	27927	14943	117	r23	127
o79	29384	7378	117	r21	134
o80	30971	11143	118	r38	128
o81	26561	13718	118	r23	124
o82	28116	10970	118	r8	144
o83	29938	12632	119	r39	121
o84	29307	20199	120	r11	121
o85	24103	17693	122	r14	140
o86	32133	6110	123	r21	135
o87	30178	13293	127	r40	147
o88	30787	10741	127	r18	129
o89	29541	8202	127	r41	137
o90	29715	15564	128	r33	151
o91	31673	12984	128	r14	148
o92	26087	15546	129	r7	152
o93	30931	13964	130	r42	133
o94	28525	14293	132	r40	157
o95	26433	15010	136	r20	151
o96	24483	17639	137	r43	158
o97	30006	17685	137	r42	140
o98	27272	20685	140	r44	144
o99	27609	15232	140	r10	142
o100	24098	9496	140	r45	150
o101	26634	22789	140	r22	153
o102	31059	9914	140	r7	152
o103	11654	32946	141	r46	154
o104	25763	16387	142	r14	157
o105	28594	23896	143	r14	159
